climate,obstacle,orientation,heat_SP,cool_SP,load,cv,qcd
1,3,45,19,24,primary [kWh/m2],0.0561864,0.0510142
1,3,45,19,26,heat_load [kWh/m2],0,0
1,3,45,19,26,cool_load [kWh/m2],0.0976161,0.0879012
1,3,45,19,26,light_load [kWh/m2],0.0253164,0.00788056
1,3,45,19,26,primary [kWh/m2],0.0675324,0.0612768
1,3,45,21,24,heat_load [kWh/m2],0,0
1,3,45,21,24,cool_load [kWh/m2],0.0763357,0.0688069
1,3,45,21,24,light_load [kWh/m2],0.0253164,0.00788056
1,3,45,21,24,primary [kWh/m2],0.0561864,0.0510142
1,3,45,21,26,heat_load [kWh/m2],0,0
1,3,45,21,26,cool_load [kWh/m2],0.0976161,0.0879012
1,3,45,21,26,light_load [kWh/m2],0.0253164,0.00788056
1,3,45,21,26,primary [kWh/m2],0.0675324,0.0612768
1,4,-45,19,24,heat_load [kWh/m2],0,0
1,4,-45,19,24,cool_load [kWh/m2],0.0836632,0.0745847
1,4,-45,19,24,light_load [kWh/m2],0.0206464,0.00815865
1,4,-45,19,24,primary [kWh/m2],0.0654432,0.0592372
1,4,-45,19,26,heat_load [kWh/m2],0,0
1,4,-45,19,26,cool_load [kWh/m2],0.102116,0.0911893
1,4,-45,19,26,light_load [kWh/m2],0.0206464,0.00815865
