climate,obstacle,orientation,heat_SP,cool_SP,load,cvrmse,model
1,1,0,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,1,0,21,24,cool_load [kWh/m2],0.0240234,xgb12
1,1,0,21,24,light_load [kWh/m2],0.0189025,xgb12
1,1,0,21,24,primary [kWh/m2],0.0182386,xgb12
1,1,0,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,1,0,21,26,cool_load [kWh/m2],0.0287713,xgb12
1,1,0,21,26,light_load [kWh/m2],0.0165391,xgb12
1,1,0,21,26,primary [kWh/m2],0.0194512,xgb12
1,1,45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,1,45,19,24,cool_load [kWh/m2],0.019916,xgb12
1,1,45,19,24,light_load [kWh/m2],0.0172686,xgb12
1,1,45,19,24,primary [kWh/m2],0.0151458,xgb12
1,1,45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,1,45,19,26,cool_load [kWh/m2],0.0249191,xgb12
1,1,45,19,26,light_load [kWh/m2],0.016026,xgb12
1,1,45,19,26,primary [kWh/m2],0.020602,xgb12
1,1,45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,1,45,21,24,cool_load [kWh/m2],0.0199305,xgb12
1,1,45,21,24,light_load [kWh/m2],0.0182298,xgb12
1,1,45,21,24,primary [kWh/m2],0.0148584,xgb12
1,1,45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,1,45,21,26,cool_load [kWh/m2],0.0226462,xgb12
1,1,45,21,26,light_load [kWh/m2],0.0176261,xgb12
1,1,45,21,26,primary [kWh/m2],0.0177872,xgb12
1,1,-45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,1,-45,19,24,cool_load [kWh/m2],0.0238702,xgb12
1,1,-45,19,24,light_load [kWh/m2],0.0126186,xgb12
1,1,-45,19,24,primary [kWh/m2],0.016639,xgb12
1,1,-45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,1,-45,19,26,cool_load [kWh/m2],0.0247052,xgb12
1,1,-45,19,26,light_load [kWh/m2],0.0123176,xgb12
1,1,-45,19,26,primary [kWh/m2],0.0196129,xgb12
1,1,-45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,1,-45,21,24,cool_load [kWh/m2],0.0253625,xgb12
1,1,-45,21,24,light_load [kWh/m2],0.0148433,xgb12
1,1,-45,21,24,primary [kWh/m2],0.0176845,xgb12
1,1,-45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,1,-45,21,26,cool_load [kWh/m2],0.0273734,xgb12
1,1,-45,21,26,light_load [kWh/m2],0.0135514,xgb12
1,1,-45,21,26,primary [kWh/m2],0.0198915,xgb12
1,2,0,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,2,0,19,24,cool_load [kWh/m2],0.0194079,xgb12
1,2,0,19,24,light_load [kWh/m2],0.0305205,xgb12
1,2,0,19,24,primary [kWh/m2],0.0124508,xgb12
1,2,0,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,2,0,19,26,cool_load [kWh/m2],0.0289815,xgb12
1,2,0,19,26,light_load [kWh/m2],0.0296644,xgb12
1,2,0,19,26,primary [kWh/m2],0.0153489,xgb12
1,2,0,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,2,0,21,24,cool_load [kWh/m2],0.0230693,xgb12
1,2,0,21,24,light_load [kWh/m2],0.0282184,xgb12
1,2,0,21,24,primary [kWh/m2],0.0118445,xgb12
1,2,0,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,2,0,21,26,cool_load [kWh/m2],0.0230697,xgb12
1,2,0,21,26,light_load [kWh/m2],0.028058,xgb12
1,2,0,21,26,primary [kWh/m2],0.0151752,xgb12
1,2,45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,2,45,19,24,cool_load [kWh/m2],0.0172812,xgb12
1,2,45,19,24,light_load [kWh/m2],0.0226599,xgb12
1,2,45,19,24,primary [kWh/m2],0.0128383,xgb12
1,2,45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,2,45,19,26,cool_load [kWh/m2],0.0224945,xgb12
1,2,45,19,26,light_load [kWh/m2],0.0239857,xgb12
1,2,45,19,26,primary [kWh/m2],0.0136593,xgb12
1,2,45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,2,45,21,24,cool_load [kWh/m2],0.0170949,xgb12
1,2,45,21,24,light_load [kWh/m2],0.0245508,xgb12
1,2,45,21,24,primary [kWh/m2],0.0130936,xgb12
1,2,45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,2,45,21,26,cool_load [kWh/m2],0.021983,xgb12
1,2,45,21,26,light_load [kWh/m2],0.0223097,xgb12
1,2,45,21,26,primary [kWh/m2],0.0146397,xgb12
1,2,-45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,2,-45,19,24,cool_load [kWh/m2],0.0206195,xgb12
1,2,-45,19,24,light_load [kWh/m2],0.0137788,xgb12
1,2,-45,19,24,primary [kWh/m2],0.0184549,xgb12
1,2,-45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,2,-45,19,26,cool_load [kWh/m2],0.0303232,xgb12
1,2,-45,19,26,light_load [kWh/m2],0.0133725,xgb12
1,2,-45,19,26,primary [kWh/m2],0.0181124,xgb12
1,2,-45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,2,-45,21,24,cool_load [kWh/m2],0.0215776,xgb12
1,2,-45,21,24,light_load [kWh/m2],0.0146062,xgb12
1,2,-45,21,24,primary [kWh/m2],0.0160453,xgb12
1,2,-45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,2,-45,21,26,cool_load [kWh/m2],0.0269395,xgb12
1,2,-45,21,26,light_load [kWh/m2],0.0132452,xgb12
1,2,-45,21,26,primary [kWh/m2],0.0183146,xgb12
1,3,0,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,3,0,19,24,cool_load [kWh/m2],0.0238726,xgb12
1,3,0,19,24,light_load [kWh/m2],0.0161779,xgb12
1,3,0,19,24,primary [kWh/m2],0.0159858,xgb12
1,3,0,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,3,0,19,26,cool_load [kWh/m2],0.0304427,xgb12
1,3,0,19,26,light_load [kWh/m2],0.0166,xgb12
1,3,0,19,26,primary [kWh/m2],0.0199035,xgb12
1,3,0,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,3,0,21,24,cool_load [kWh/m2],0.0202614,xgb12
1,3,0,21,24,light_load [kWh/m2],0.0168801,xgb12
1,3,0,21,24,primary [kWh/m2],0.0157564,xgb12
1,3,0,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,3,0,21,26,cool_load [kWh/m2],0.029493,xgb12
1,3,0,21,26,light_load [kWh/m2],0.0151181,xgb12
1,3,0,21,26,primary [kWh/m2],0.0205501,xgb12
1,3,45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,3,45,19,24,cool_load [kWh/m2],0.0197498,xgb12
1,3,45,19,24,light_load [kWh/m2],0.0178729,xgb12
1,3,45,19,24,primary [kWh/m2],0.0133025,xgb12
1,3,45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,3,45,19,26,cool_load [kWh/m2],0.0263822,xgb12
1,3,45,19,26,light_load [kWh/m2],0.0157085,xgb12
1,3,45,19,26,primary [kWh/m2],0.0174023,xgb12
1,3,45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,3,45,21,24,cool_load [kWh/m2],0.0186472,xgb12
1,3,45,21,24,light_load [kWh/m2],0.0168758,xgb12
1,3,45,21,24,primary [kWh/m2],0.0138758,xgb12
1,3,45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
1,3,45,21,26,cool_load [kWh/m2],0.0253487,xgb12
1,3,45,21,26,light_load [kWh/m2],0.0164108,xgb12
1,3,45,21,26,primary [kWh/m2],0.0175244,xgb12
1,3,-45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
1,3,-45,19,24,cool_load [kWh/m2],0.0216489,xgb12
